track_id,rms,spectral,rolloff,Chromatic scale,Predominant Key,MFCC,key,mode,scale_name,key_full,key_correlation,scale_correlation,scale_pitches,arousal_mean,valence_mean
2,0.10584918,1800.4421763884848,3797.049219051874,0.38510004,A,-138.77792,A,minor,Neapolitan Minor,A Neapolitan Minor,1.7207661867141724,0.0956739985517093,"A4, A#4, C5, D5, E5, F5, G#5, A5",3.0,3.1
3,0.11689929,965.677871884714,2072.6928962628867,0.44359982,E,-245.03818,E,arabic,Arabic,E Arabic,1.3023719787597656,0.08900855162314,"E4, F4, G#4, A4, B4, C5, D#5, E5",3.3,3.5
4,0.18758447,1675.1347597235265,3365.961536525451,0.34966645,A,-104.9403,A,minor,Minor Pentatonic,A Minor Pentatonic,2.160939693450928,0.0987987451255321,"A4, C5, D5, E5, G5, A5",5.5,5.7
5,0.1504522,1617.4030342608023,3276.060413478576,0.29309353,B,-142.96272,B,major,Major Pentatonic,B Major Pentatonic,1.7826026678085327,0.1070555992424488,"B4, C#5, D#5, F#5, G#5, B5",5.3,4.4
7,0.2692712,1265.3437184256654,3022.181175738988,0.352406,F,-150.70235,F,lydian,Lydian,F Lydian,1.2654520273208618,0.0870410991566521,"F4, G4, A4, B4, C5, D5, E5, F5",6.4,5.8
8,0.12404416,1196.7317672780782,2575.813739192909,0.38590676,E,-291.07843,E,blues,Blues,E Blues,1.5266257524490356,0.0962998357911904,"E4, G4, A4, A#4, B4, D5, E5",4.8,3.2
10,0.06732989,1615.102934358893,3405.7351161007537,0.261279,A,-267.08508,A,minor,Minor Pentatonic,A Minor Pentatonic,1.4676799774169922,0.0971922099590301,"A4, C5, D5, E5, G5, A5",4.7,4.0
12,0.22966948,2100.061078303261,4701.57687675087,0.35965064,C,-95.876045,C,minor,Minor Pentatonic,C Minor Pentatonic,1.524549961090088,0.0951811745762825,"C4, D#4, F4, G4, A#4, C5",5.8,5.5
13,0.13298038,1549.382145117573,3141.257237429965,0.27448735,C,-197.4169,C,minor,Minor Pentatonic,C Minor Pentatonic,1.5499927997589111,0.097464308142662,"C4, D#4, F4, G4, A#4, C5",4.0,3.2
2000,0.0929062,2060.5326024329825,4525.661522832817,0.45819518,F,-142.20256,F,minor,Minor Pentatonic,F Minor Pentatonic,1.2571913003921509,0.0880108818411827,"F4, G#4, A#4, C5, D#5, F5",6.0,5.8
